acs_array_smote_total,gm_array_smote_total,f1macro_array_smote_total,acs_array_adasyn_total,gm_array_adasyn_total,f1macro_array_adasyn_total;;;;;;;
0.9599866666666668,0.8843678774961328,0.7916654927465349,0.9561366666666669,0.8725972320966449,0.7714741716600534
0.9602233333333334,0.8850851111134495,0.7914084209725073,0.9576566666666666,0.8772638841008419,0.7779523259813466
0.95959,0.8831701973333932,0.7918021687464835,0.9592433333333332,0.8821174867194447,0.7841986549355761
0.9580633333333335,0.8785450674769955,0.7824287518960317,0.9632033333333332,0.8940494430828322,0.8102871762401922
0.9606200000000001,0.8862749604857798,0.7911674617208578,0.9601200000000001,0.8847711982523292,0.7929278994638341
0.95612,0.8725963292874097,0.7713956025983417,0.9569433333333333,0.8751090313859737,0.7768187463493715
0.9568466666666666,0.8748038746889554,0.7752812301867824,0.9583466666666667,0.8793305402647803,0.7826516039635927
0.9607699999999999,0.886725642197875,0.7956179310420981,0.95577,0.871422860178596,0.7636480965305944
0.9599966666666665,0.8843920667642677,0.7912248155858643,0.9586766666666666,0.880374832237196,0.783520239220777
0.9612499999999999,0.8881757856140746,0.7995330388523778,0.9599599999999999,0.8842979037352873,0.7877647903803608
0.9609133333333333,0.8871496326176762,0.7966651659432319,0.95945,0.8827282185642137,0.7870998798138358
0.9600200000000001,0.8844775974168039,0.7920349748131424,0.9570833333333333,0.8755782928318074,0.7758489665255867
0.9605200000000002,0.8859549572733147,0.794240523812731,0.9595499999999999,0.8830402118674927,0.7870243038855694
0.9594666666666667,0.8827290929320262,0.7881418194519713,0.9601900000000001,0.8849546690848811,0.7887520694870163
0.9600033333333332,0.884436327939154,0.7878247250541979,0.9596233333333334,0.8832787765800892,0.7858081560964099
0.9593466666666666,0.8824306531135566,0.7846176756764083,0.9601466666666667,0.8847990937831387,0.7950685529933962
0.9601966666666668,0.8849989291591711,0.7943191407517138,0.95853,0.8799736285209656,0.7870768040665352
0.9583200000000002,0.8792968211968176,0.7817519366066046,0.9593700000000001,0.8825175698550469,0.7852126383691531
0.9601966666666668,0.8849989291591711,0.7943191407517138,0.95853,0.8799736285209656,0.7870768040665352
0.9580499999999998,0.8785073989528265,0.7862739067323188,0.9604866666666666,0.8858768158532578,0.7901934851106629
0.96164,0.889355597321303,0.7998124317689301,0.9586066666666666,0.8801509157599174,0.7826496867055527
0.9581333333333333,0.8787004013936107,0.7850943763960287,0.9606733333333333,0.8864369005870442,0.7927690282792632
0.9619966666666666,0.890418724940717,0.8009938388384885,0.9602733333333335,0.8852023970561238,0.7915466084163072
0.9564966666666667,0.8738007709992643,0.7734301868610974,0.9608166666666665,0.8868832527361461,0.7929622988407962
0.9606433333333335,0.8863376969460475,0.7969168196727348,0.9590333333333334,0.881485445540636,0.7881544102248503
0.9602133333333335,0.8850573072727684,0.7914761217345986,0.95739,0.8765136300669756,0.7798110661133721
0.9598633333333334,0.8840197866167214,0.7921808666430182,0.96013,0.8848193709923333,0.7911865932626483
