acs_array_smote_total,gm_array_smote_total,f1macro_array_smote_total,acs_array_adasyn_total,gm_array_adasyn_total,f1macro_array_adasyn_total
0.9872500000000001,0.964158363562109,0.9357145570845173,0.9868066666666666,0.9628918181800552,0.9328806106364066
0.9883033333333333,0.9671271576892341,0.9403481914298751,0.9877533333333333,0.9655622917686003,0.9379300578076769
0.98772,0.9654798052530396,0.937734497696813,0.98575,0.9598663203267102,0.9279676777154593
0.98941,0.9702828531856781,0.946562552410777,0.9892433333333333,0.969822240170126,0.9456291349220953
0.98783,0.9658003517553588,0.9385574189362214,0.9833999999999999,0.9530730784589725,0.915691296305147
0.98866,0.9681517258492583,0.9425649830280796,0.9866733333333334,0.9625060500513664,0.9320119476373948
0.9875533333333333,0.9649785184483599,0.9357654527120909,0.9867566666666667,0.9627404890346805,0.9333830923726187
0.9884433333333333,0.9675436428466847,0.9418764604623263,0.9875733333333333,0.9650671624617999,0.9369067393361666
0.9874366666666665,0.9646907640564718,0.9359841354097025,0.9880466666666667,0.9664232838073182,0.939638664567094
0.9856466666666666,0.9595927758787621,0.9268147916630498,0.9849466666666666,0.9575803451775826,0.92335748809165
0.9876799999999999,0.9653640769571634,0.9375192848295708,0.9812766666666667,0.9464872887737602,0.9014539837156675
0.9880066666666666,0.9662828929555214,0.938527971579056,0.9896033333333334,0.9708419024336647,0.9475087559941413
0.9890433333333333,0.96925305651309,0.944434083627441,0.9854533333333333,0.9588035866016782,0.9263080292174086
0.98891,0.9688508362162918,0.9437193146594467,0.9877566666666666,0.9655794151334149,0.9378604402529108
0.9852033333333334,0.9582741934781691,0.9237448035076113,0.98813,0.9666443763509814,0.939968932347225
0.9873533333333333,0.964457295179724,0.935906606252321,0.9807500000000001,0.9454283312689057,0.9009505361847584
0.9879700000000001,0.9662011527466149,0.9379999215289108,0.9879833333333334,0.9662239988548127,0.9388475927615666
0.9886233333333335,0.9680535359030593,0.942093108275837,0.9845533333333332,0.9563322946159291,0.9177039529156085
0.9876266666666667,0.9652068322316698,0.9373620074130052,0.9864166666666666,0.9617814883959989,0.930858725170232
0.9864766666666667,0.9618829420326319,0.9315748050719049,0.98844,0.9675304526531487,0.941507404062911
0.9888666666666668,0.9687345659401949,0.9436121261175299,0.9877333333333335,0.9655154192280712,0.9380139966333252
0.9881866666666668,0.9668102706017911,0.9402291325292301,0.9885866666666665,0.9679390569680841,0.9421517861767364
0.9898533333333335,0.9715439638186405,0.9487937733720961,0.9880566666666667,0.9664357719550878,0.9394051963287412
0.9883166666666666,0.9671808652474768,0.9404155550398772,0.98324,0.9526186957312746,0.9131571812648893
0.9885166666666667,0.9677378720809481,0.9413189982902084,0.9853533333333333,0.95865597935949,0.9218905620690082
0.9875266666666667,0.9649372010358744,0.9365134082551435,0.9868500000000001,0.9630030032082166,0.9331334667600288
0.9854166666666668,0.9588744658457415,0.9247554078913879,0.9857866666666666,0.9599751978099418,0.9278918818565964
0.9883766666666667,0.9673605428416687,0.94137841726992,0.9875399999999999,0.9649853712995297,0.936034172076831
0.9878199999999999,0.9657745734035075,0.9380237891709099,0.9879133333333334,0.9660343919525115,0.938896136066971
0.98887,0.968760160185429,0.9438898285196965,0.98329,0.9528320767270657,0.9140362888079954
